2021-06-16 10:25:54,085 INFO     Starting server at tcp:port=5000:interface=127.0.0.1
2021-06-16 10:25:54,087 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2021-06-16 10:25:54,087 INFO     Configuring endpoint tcp:port=5000:interface=127.0.0.1
2021-06-16 10:25:54,088 INFO     Listening on TCP address 127.0.0.1:5000
2021-06-16 11:02:10,854 WARNING  Application instance <Task pending name='Task-11' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b6b3790>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 35526] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 11:02:39,930 WARNING  Application instance <Task pending name='Task-29' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b694f70>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 36016] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 11:02:45,948 WARNING  Application instance <Task pending name='Task-32' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b688850>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 36050] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 11:19:29,649 WARNING  Application instance <Task pending name='Task-52' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f659805ae20>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 42362] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
127.0.0.1:59796 - - [16/Jun/2021:10:25:56] "GET /management/api/v1/basic/all/" 200 1177
127.0.0.1:59798 - - [16/Jun/2021:10:25:56] "GET /management/api/v1/analysis/fundholding/?portCode=PFF005&date=2021-06-16" 200 16965
127.0.0.1:59826 - - [16/Jun/2021:10:25:58] "GET /management/api/v1/analysis/fundholding/etf/?portCode=PFF005&date=2021-06-16" 200 9945
127.0.0.1:59828 - - [16/Jun/2021:10:25:58] "GET /management/api/v1/analysis/fundholding/etf_analysis/?port_code=PFF005" 200 4013
127.0.0.1:35504 - - [16/Jun/2021:11:01:57] "GET /management/api/v1/cta/" 200 816
127.0.0.1:35502 - - [16/Jun/2021:11:01:57] "GET /management/api/v1/basic/all/" 200 1177
127.0.0.1:35506 - - [16/Jun/2021:11:01:57] "GET /management/api/v1/basic/announcement/?num=6" 200 1223
127.0.0.1:35510 - - [16/Jun/2021:11:01:57] "GET /management/api/v1/basic/all/" 200 1177
127.0.0.1:35526 - - [16/Jun/2021:11:01:59] "WSCONNECTING /ws/prevaluation/" - -
127.0.0.1:35526 - - [16/Jun/2021:11:01:59] "WSCONNECT /ws/prevaluation/" - -
127.0.0.1:35532 - - [16/Jun/2021:11:01:59] "GET /management/api/v1/overview/compare/?portCode=PFF003" 200 5622
127.0.0.1:35534 - - [16/Jun/2021:11:01:59] "GET /management/api/v1/overview/allocate/history/?portCode=PFF003" 200 10810
127.0.0.1:35536 - - [16/Jun/2021:11:01:59] "GET /management/api/v1/overview/allocate/?portCode=PFF003" 200 287
127.0.0.1:35530 - - [16/Jun/2021:11:01:59] "GET /management/api/v1/overview/?portCode=PFF003" 200 3611
127.0.0.1:35538 - - [16/Jun/2021:11:01:59] "GET /management/api/v1/overview/pos/?portCode=PFF003" 200 11170
127.0.0.1:35540 - - [16/Jun/2021:11:01:59] "GET /management/api/v1/overview/allocate/avg/?portCode=PFF003&start=&end=" 200 279
127.0.0.1:35548 - - [16/Jun/2021:11:01:59] "GET /management/api/v1/overview/questionnairy/?portCode=PFF003" 200 312
127.0.0.1:35526 - - [16/Jun/2021:11:02:00] "WSDISCONNECT /ws/prevaluation/" - -
127.0.0.1:35566 - - [16/Jun/2021:11:02:00] "GET /management/api/v1/analysis/attribute/?portCode=PFF003&date=2021-06-16" 200 246
127.0.0.1:35568 - - [16/Jun/2021:11:02:00] "GET /management/api/v1/analysis/performance/?date=2021-06-16&portCode=PFF003" 200 896
127.0.0.1:35658 - - [16/Jun/2021:11:02:04] "GET /management/api/v1/analysis/performance/?date=2021-06-10&portCode=PFF003" 200 892
127.0.0.1:35660 - - [16/Jun/2021:11:02:04] "GET /management/api/v1/analysis/attribute/?portCode=PFF003&date=2021-06-10" 200 241
127.0.0.1:35664 - - [16/Jun/2021:11:02:04] "GET /management/api/v1/analysis/attribute/?portCode=PFF003&date=2021-06-10" 200 241
127.0.0.1:35858 - - [16/Jun/2021:11:02:18] "GET /management/api/v1/analysis/performance/?date=2021-06-11&portCode=PFF003" 200 896
127.0.0.1:35860 - - [16/Jun/2021:11:02:18] "GET /management/api/v1/analysis/attribute/?portCode=PFF003&date=2021-06-11" 200 246
127.0.0.1:35864 - - [16/Jun/2021:11:02:18] "GET /management/api/v1/analysis/attribute/?portCode=PFF003&date=2021-06-11" 200 246
127.0.0.1:36016 - - [16/Jun/2021:11:02:28] "WSCONNECTING /ws/prevaluation/" - -
